Name,Type,Default,Mandatory,Explanation
cn_fk,String,,No,Node unique identifier
node_id,Integer,,Yes,Node index
v_base,Integer,,Yes,Base voltage in V
i_base,Float,,Yes,Base current in A
s_base,Float,1.00E+06,Yes,Base power in VA
p_cons_pu,Float,0,Yes,Measured active power in pu
q_cons_pu,Float,0,Yes,Measured reactive power in pu
p_prod_pu,Float,0,Yes,Measured active power in pu
q_prod_pu,Float,0,Yes,Measured reactive power in pu
cons_installed,Float,1,Yes,Scaled installed consumption at node
prod_installed,Float,1,Yes,Scaled installed production at node
v_node_sqr_pu,Float,,No,Mesured squared voltage in pu
type,slack | end_user | connection,,Yes,Type of Node

